"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"171","Poldip2","ENSMUSG00000001100",614.895845661709,0.0631273739271053,0.243638154365486,0.259102988575454,0.795555778973166,0.999967202106179
"172","Sebox","ENSMUSG00000001103",3.46028795826174,1.48633632487259,1.30455100950946,1.1393470351393,0.254558437714425,0.999967202106179
"173","Ift20","ENSMUSG00000001105",1258.57437373397,0.0057551024863405,0.231643344098631,0.0248446701921642,0.980178860381374,0.999967202106179
"174","Col6a1","ENSMUSG00000001119",23.169409823862,0.296173106222721,0.709925128632872,0.417189213731696,0.676540014097731,0.999967202106179
"175","Pcbp3","ENSMUSG00000001120",1313.75952070922,0.201306151693063,0.317482594136069,0.634069884180126,0.526035215725072,0.999967202106179
"176","Lgals9","ENSMUSG00000001123",34.6954354738061,-1.16997733445922,0.692403888284521,-1.68973247299047,0.0910791477675898,0.997559888532212
"177","Araf","ENSMUSG00000001127",1358.11443661122,0.0660894822517498,0.253717069354786,0.260484966265054,0.794489710348585,0.999967202106179
"178","Cfp","ENSMUSG00000001128",118.583739165887,0.162201222344074,0.504583561296349,0.321455621596859,0.747865137856438,0.999967202106179
"179","Timp1","ENSMUSG00000001131",61.9415316856915,0.304410343998624,0.692060484376197,0.439860894923094,0.660037860005514,0.999967202106179
"180","Uxt","ENSMUSG00000001134",79.5796108974988,0.127929034545707,0.32945477519891,0.388305297649637,0.697790117296557,0.999967202106179
"181","Cnnm3","ENSMUSG00000001138",304.027288071606,-0.0022454485925638,0.304848708868668,-0.00736578022881233,0.994123010819611,0.999967202106179
"182","Lman2l","ENSMUSG00000001143",5389.36009109653,-0.120153981755285,0.318989662695806,-0.376670456151634,0.706418521005158,0.999967202106179
"183","Mcm3ap","ENSMUSG00000001150",1228.03676790173,-0.0103741753821688,0.233936541211337,-0.0443461091133977,0.964628518046,0.999967202106179
"184","Pcnt","ENSMUSG00000001151",888.014291398758,0.10108733792981,0.374758554612785,0.269739907696722,0.787360356222802,0.999967202106179
"185","Mxd1","ENSMUSG00000001156",1081.38580760861,0.180335460198435,0.205418578591142,0.877892649414969,0.380001978601342,0.999967202106179
"186","Gmcl1","ENSMUSG00000001157",763.964014595496,-0.0434289482780688,0.270743227572296,-0.160406406717864,0.872560943138143,0.999967202106179
"187","Snrnp27","ENSMUSG00000001158",615.911070499321,-0.0516540023518907,0.225127456935142,-0.229443369791948,0.818524330876928,0.999967202106179
"188","Oas1c","ENSMUSG00000001166",31.4170576768811,-0.245170930827214,0.494124949750783,-0.4961719317166,0.619773112329462,0.999967202106179
"189","Ocrl","ENSMUSG00000001173",2264.34519537912,-0.38535920330587,0.257466453231862,-1.49673558814606,0.134462072246797,0.999967202106179
"190","Calm1","ENSMUSG00000001175",94412.0527098505,0.0793761645783228,0.292637425496183,0.271244064028161,0.786203324614907,0.999967202106179
"191","Agpat3","ENSMUSG00000001211",6076.80233371221,0.136278705350954,0.250040573600486,0.545026366675595,0.585735383588801,0.999967202106179
"192","Slc26a3","ENSMUSG00000001225",1.70691137173673,-2.31685405030841,1.97927867634963,-1.17055474703611,0.241777796054004,NA
"193","Sema6b","ENSMUSG00000001227",106.430002709367,0.153390697671991,0.396551818368168,0.386811232648489,0.698895960869084,0.999967202106179
"194","Uhrf1","ENSMUSG00000001228",141.336995496524,0.758369482144446,0.587145019237896,1.29162209896423,0.19648804713537,0.999967202106179
"195","Dpp9","ENSMUSG00000001229",803.532760125582,-0.026398181832058,0.316149262116008,-0.0834991094250016,0.933454685496779,0.999967202106179
"196","Ramp2","ENSMUSG00000001240",4.50228260240836,-0.104317209277836,1.55402615477439,-0.0671270615088073,0.946480550509709,0.999967202106179
"197","Lsr","ENSMUSG00000001247",868.813622333837,0.0419296843940761,0.529930639587167,0.0791229667843714,0.936934815926678,0.999967202106179
"198","Gramd1a","ENSMUSG00000001248",537.184186976653,0.0401748829935995,0.214652178903625,0.187162707589552,0.851533063154878,0.999967202106179
