"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"91","Krit1","ENSMUSG00000000600",994.633535326468,-0.000235908230325982,0.106920819950014,0.99016710044138,0.999967202106179
"92","Clcn4","ENSMUSG00000000605",1646.76150955812,0.0264153188285631,0.101049126339998,0.579472354209097,0.999967202106179
"93","Vmn2r88","ENSMUSG00000000606",1.32233005149309,-0.00421351399594744,0.111251860714512,0.202088227156057,NA
"94","Sema4f","ENSMUSG00000000627",398.19701156042,-0.0348275864342019,0.111123818965096,0.354332869006632,0.999967202106179
"95","Hk2","ENSMUSG00000000628",55.5285850296641,0.000434109728063225,0.110376473699734,0.977998434315377,0.999967202106179
"96","Myo18a","ENSMUSG00000000631",396.911000243991,0.104722143396151,0.189499805181218,0.00969551207971863,0.20866859786589
"97","Sez6","ENSMUSG00000000632",6.9114670816634,-0.00506371047909035,0.110583194920417,0.69035448724131,0.999967202106179
"98","Haao","ENSMUSG00000000673",38.4410143107207,0.00220368539092109,0.110059782480581,0.891417579096386,0.999967202106179
"99","Cd52","ENSMUSG00000000682",7.29215803489318,0.00120591421003279,0.110834438019712,0.890584193453162,0.999967202106179
"100","Abhd15","ENSMUSG00000000686",7.05913991760529,0.0106272687949343,0.111145966347247,0.416460464153567,0.999967202106179
"101","Loxl3","ENSMUSG00000000693",9.6447083630265,0.00441663672810114,0.110053394039065,0.788295923071196,0.999967202106179
"102","Btn1a1","ENSMUSG00000000706",1.68944835183756,0.0046403150348845,0.111168727291425,0.392321875160199,NA
"103","Kat2b","ENSMUSG00000000708",1806.50049656564,-0.0139352816215742,0.10200476150404,0.741113905612069,0.999967202106179
"104","Rab5b","ENSMUSG00000000711",1294.57607694904,0.00343494364321716,0.104735303483894,0.925064202963056,0.999967202106179
"105","Cryba1","ENSMUSG00000000724",29.0533713666344,0.0145264001428379,0.111454635350685,0.354419424217272,0.999967202106179
"106","Aire","ENSMUSG00000000731",1.20198648725394,-0.00187911886451123,0.111034754384349,0.738232267778727,NA
"107","Icosl","ENSMUSG00000000732",11.0785386875857,-0.023463745123808,0.114120522601691,0.0746618594363583,0.885828194930715
"108","Spg7","ENSMUSG00000000738",447.003184565134,0.0134232524522637,0.105160235052462,0.716230966706993,0.999967202106179
"109","Sult5a1","ENSMUSG00000000739",2.15944073922581,0.00383077845792548,0.111084919172716,0.533966815482021,NA
"110","Rpl13","ENSMUSG00000000740",1971.97844444455,-0.0250471556984049,0.107673622864342,0.515828734133364,0.999967202106179
"111","Chmp1a","ENSMUSG00000000743",370.250111053181,-0.0113472402270067,0.10575287511296,0.740627562974984,0.999967202106179
"112","Rpa1","ENSMUSG00000000751",888.910962710865,0.00888620969100782,0.105553728940757,0.798309192103714,0.999967202106179
"113","Serpinf1","ENSMUSG00000000753",55.2150101730249,0.0197520039427432,0.111048251584925,0.404534204334081,0.999967202106179
"114","Tubgcp3","ENSMUSG00000000759",1152.61286146541,0.0195892323369409,0.0996547062785987,0.677380407589473,0.999967202106179
"115","Oprm1","ENSMUSG00000000766",2.06972146680555,0.0015867340023668,0.110913059594571,0.835219643710348,NA
"116","Polr3d","ENSMUSG00000000776",283.977019325211,-0.0176857200162526,0.105145170052881,0.642485762247786,0.999967202106179
"117","Tcf7","ENSMUSG00000000782",45.6719627843362,-0.00288486479048496,0.106898178070157,0.920289300827257,0.999967202106179
"118","Ddx3x","ENSMUSG00000000787",10154.4071867059,0.0223567435869161,0.109067152951538,0.480479885309527,0.999967202106179
"119","Il12rb1","ENSMUSG00000000791",3.68467491987741,0.00148686754009865,0.110805030682988,0.869903502689987,0.999967202106179
