ENSMUSG00000061518	3069	3060	9
ENSMUSG00000037351	7344	7321	26
ENSMUSG00000102416	66	32	112
ENSMUSG00000104237	148	211	12
ENSMUSG00000026117	31	30	1
ENSMUSG00000097291	4	0	4
ENSMUSG00000026116	4784	4774	10
ENSMUSG00000103016	10	10	0
ENSMUSG00000102930	72	71	1
ENSMUSG00000103159	68	67	1
ENSMUSG00000080054	0	0	0
ENSMUSG00000095944	0	0	0
ENSMUSG00000050122	1707	1706	1
ENSMUSG00000103603	87	0	87
ENSMUSG00000026114	62	59	3
ENSMUSG00000102231	1	1	0
ENSMUSG00000026113	3517	3506	11
ENSMUSG00000086064	139	0	139
ENSMUSG00000102879	50	0	50
ENSMUSG00000026112	1487	1384	103
ENSMUSG00000026111	509	507	2
ENSMUSG00000026110	57	45	12
ENSMUSG00000103948	0	0	0
ENSMUSG00000087233	1	1	0
ENSMUSG00000026090	144	145	0
ENSMUSG00000089767	3	0	3
ENSMUSG00000104365	2	0	3
ENSMUSG00000102650	7	7	0
ENSMUSG00000060771	949	906	57
ENSMUSG00000097268	11	22	3
ENSMUSG00000037216	50	58	10
ENSMUSG00000026088	229	230	17
ENSMUSG00000026087	402	402	0
ENSMUSG00000061584	17	16	1
ENSMUSG00000087374	0	0	0
ENSMUSG00000026085	0	0	0
ENSMUSG00000089141	1	0	1
ENSMUSG00000058407	1189	1179	13
ENSMUSG00000026083	3509	3395	454
ENSMUSG00000026082	1019	1259	97
ENSMUSG00000103804	38	37	1
ENSMUSG00000102716	8	0	8
ENSMUSG00000037138	4611	4587	24
ENSMUSG00000085391	206	58	148
ENSMUSG00000085280	104	1	103
ENSMUSG00000087131	152	1	151
ENSMUSG00000102984	42	0	42
ENSMUSG00000102541	0	0	0
ENSMUSG00000103531	3	0	3
ENSMUSG00000048814	774	769	5
ENSMUSG00000026080	281	275	6
ENSMUSG00000103647	4	2	2
ENSMUSG00000102447	0	0	0
ENSMUSG00000067604	1	1	0
ENSMUSG00000026078	616	520	96
ENSMUSG00000103046	47	47	0
ENSMUSG00000104188	0	0	0
ENSMUSG00000103182	3	2	1
ENSMUSG00000098833	0	0	0
ENSMUSG00000026077	154	147	7
ENSMUSG00000092553	3	0	3
ENSMUSG00000092563	5	5	0
ENSMUSG00000073702	676	715	36
ENSMUSG00000003134	639	581	133
ENSMUSG00000102607	2	2	0
ENSMUSG00000065629	0	0	0
ENSMUSG00000104827	0	0	0
ENSMUSG00000003135	1094	1059	35
ENSMUSG00000085894	9	9	0
ENSMUSG00000077704	1	1	0
ENSMUSG00000048234	918	918	0
ENSMUSG00000064936	10	10	0
ENSMUSG00000102471	0	0	0
ENSMUSG00000050967	6	5	1
ENSMUSG00000097083	0	0	0
ENSMUSG00000057173	1	0	1
ENSMUSG00000091937	0	0	0
ENSMUSG00000101634	0	0	0
ENSMUSG00000026074	4190	4180	10
ENSMUSG00000102985	8	2	6
ENSMUSG00000026073	4	4	0
ENSMUSG00000097899	11	9	2
ENSMUSG00000102975	0	0	0
ENSMUSG00000026072	8	8	0
ENSMUSG00000103560	3	3	0
ENSMUSG00000070942	1	1	0
ENSMUSG00000103230	0	0	0
ENSMUSG00000026069	0	0	0
ENSMUSG00000026070	6	6	0
ENSMUSG00000026068	2	0	2
ENSMUSG00000104441	0	0	0
ENSMUSG00000026065	0	0	0
ENSMUSG00000102676	0	0	0
ENSMUSG00000026062	14	14	0
ENSMUSG00000103679	0	0	0
ENSMUSG00000103270	5	2	138
ENSMUSG00000041945	38	173	0
ENSMUSG00000079588	52	50	2
ENSMUSG00000094136	2	0	2
ENSMUSG00000104072	0	0	0
ENSMUSG00000100185	1	1	0
ENSMUSG00000100832	0	0	0
ENSMUSG00000100178	1	1	0
ENSMUSG00000101877	0	0	0
ENSMUSG00000053640	0	0	0
ENSMUSG00000101919	0	0	0
ENSMUSG00000101299	1	0	1
ENSMUSG00000100180	0	0	0
ENSMUSG00000103106	0	0	0
ENSMUSG00000060424	2	0	2
ENSMUSG00000104199	0	0	0
ENSMUSG00000093436	0	0	0
ENSMUSG00000045515	0	0	0
ENSMUSG00000097063	0	0	0
ENSMUSG00000099784	0	0	0
ENSMUSG00000060679	840	837	3
ENSMUSG00000077448	0	0	0
ENSMUSG00000041907	134	131	3
ENSMUSG00000089088	0	0	0
ENSMUSG00000070939	1930	1929	31
ENSMUSG00000100269	2	0	9
ENSMUSG00000041878	57	68	12
ENSMUSG00000010290	290	287	3
ENSMUSG00000008136	22	18	4
ENSMUSG00000094497	44	44	0
ENSMUSG00000099576	0	0	0
ENSMUSG00000099694	0	0	0
ENSMUSG00000101923	0	0	0
ENSMUSG00000066877	918	916	2
ENSMUSG00000103422	50	50	0
ENSMUSG00000103945	43	43	0
ENSMUSG00000026051	48	3	53
ENSMUSG00000100764	84	104	2
ENSMUSG00000100635	32	0	46
ENSMUSG00000100480	63	63	0
ENSMUSG00000057363	3042	3031	11
ENSMUSG00000090243	80	0	80
ENSMUSG00000100701	1	1	0
ENSMUSG00000101395	0	0	0
ENSMUSG00000088848	0	0	0
ENSMUSG00000095757	0	0	0
ENSMUSG00000041763	2253	2203	50
ENSMUSG00000047343	153	5	148
ENSMUSG00000090106	1	0	1
ENSMUSG00000091844	135	135	0
ENSMUSG00000026049	79	79	0
ENSMUSG00000101104	0	0	0
ENSMUSG00000026047	99	99	0
ENSMUSG00000041684	470	465	5
ENSMUSG00000026048	1381	1377	4
ENSMUSG00000046828	0	0	0
ENSMUSG00000089703	2	2	0
ENSMUSG00000100966	0	0	0
ENSMUSG00000100769	0	0	0
ENSMUSG00000101567	0	0	0
ENSMUSG00000056870	21	20	1
ENSMUSG00000102319	3	2	1
ENSMUSG00000089877	4	4	0
ENSMUSG00000101701	0	0	0
ENSMUSG00000103071	0	0	0
ENSMUSG00000100434	0	0	0
ENSMUSG00000100013	0	0	0
ENSMUSG00000101251	0	0	0
ENSMUSG00000101937	0	0	0
ENSMUSG00000026043	41	41	0
ENSMUSG00000105211	0	0	0
ENSMUSG00000026042	108	105	3
ENSMUSG00000104476	3	3	0
ENSMUSG00000100218	0	0	0
ENSMUSG00000100361	0	0	0
ENSMUSG00000100894	0	0	0
ENSMUSG00000095121	0	0	0
ENSMUSG00000065255	0	0	0
ENSMUSG00000100843	0	0	0
ENSMUSG00000087764	0	0	0
ENSMUSG00000025995	475	474	1
ENSMUSG00000099850	3	0	3
ENSMUSG00000084817	110	108	2
ENSMUSG00000098549	0	0	0
ENSMUSG00000099381	0	0	0
ENSMUSG00000025993	30	30	0
ENSMUSG00000099946	1	1	0
ENSMUSG00000070896	0	0	0
ENSMUSG00000090682	0	0	0
ENSMUSG00000044457	1	0	1
ENSMUSG00000099432	0	0	0
ENSMUSG00000041144	511	510	1
ENSMUSG00000096047	0	0	0
ENSMUSG00000101262	1	1	0
ENSMUSG00000101337	460	456	4
ENSMUSG00000025986	556	547	9
ENSMUSG00000100213	282	282	0
ENSMUSG00000103129	2	2	0
ENSMUSG00000100160	0	0	0
ENSMUSG00000101921	0	0	0
ENSMUSG00000101447	0	0	0
ENSMUSG00000081185	1	1	0
ENSMUSG00000103246	0	0	0
ENSMUSG00000098876	0	0	0
ENSMUSG00000100530	0	0	0
ENSMUSG00000104067	0	0	0
ENSMUSG00000100033	2	2	0
ENSMUSG00000094968	0	0	0
ENSMUSG00000088017	0	0	0
ENSMUSG00000101996	1	0	1
ENSMUSG00000096973	0	0	0
ENSMUSG00000064943	0	0	0
ENSMUSG00000100866	0	0	0
ENSMUSG00000101721	0	0	0
ENSMUSG00000099376	0	0	0
ENSMUSG00000097883	0	0	0
ENSMUSG00000092790	0	0	0
ENSMUSG00000099698	0	0	0
ENSMUSG00000099454	0	0	0
ENSMUSG00000051616	0	0	0
ENSMUSG00000099627	0	0	0
ENSMUSG00000099577	0	0	0
ENSMUSG00000099882	0	0	0
ENSMUSG00000101760	0	0	0
ENSMUSG00000099608	0	0	0
ENSMUSG00000099864	0	0	0
ENSMUSG00000098249	0	0	0
ENSMUSG00000100451	0	0	0
ENSMUSG00000099941	0	0	0
ENSMUSG00000084531	0	0	0
ENSMUSG00000100816	0	0	0
ENSMUSG00000026109	15	15	0
ENSMUSG00000100671	0	0	0
ENSMUSG00000092906	1	1	0
ENSMUSG00000101242	0	0	0
ENSMUSG00000099924	4	3	1
ENSMUSG00000099625	0	0	0
ENSMUSG00000101799	0	0	0
ENSMUSG00000045954	2	2	0
ENSMUSG00000099741	0	0	0
ENSMUSG00000101702	2	2	0
ENSMUSG00000026107	268	268	0
ENSMUSG00000099413	17	17	0
ENSMUSG00000103424	0	0	0
ENSMUSG00000101741	2	2	0
ENSMUSG00000018417	1751	1746	5
ENSMUSG00000101724	23	23	0
